verb	subject	tense	frame	sentence1	sentence2	negraising	acceptability
abhor	first	past	NP V that S	I didn't abhor that a particular thing happened.	I abhorred that that thing didn't happen.	0.09361868	0.53734004
abhor	first	past	NP be V that S	I wasn't abhorred that a particular thing happened.	I was abhorred that that thing didn't happen.	0.40084866	0.5498311
abhor	first	past	NP be V to VP[+eventive]	I wasn't abhorred to do a particular thing.	I was abhorred not to do that thing.	0.11620603	0.47514397
abhor	first	present	NP be V that S	I'm not abhorred that a particular thing happened.	I'm abhorred that that thing didn't happen.	0.35683122	0.57332313
abhor	third	past	NP V that S	A particular person didn't abhor that a particular thing happened.	That person abhorred that that thing didn't happen.	0.39201048	0.5236589
abhor	third	past	NP be V that S	A particular person wasn't abhorred that a particular thing happened.	That person was abhorred that that thing didn't happen.	0.3304995	0.6425775
abhor	third	past	NP be V to VP[+eventive]	A particular person wasn't abhorred to do a particular thing.	That person was abhorred not to do that thing.	0.23297477	0.54427594
abhor	third	present	NP be V that S	A particular person isn't abhorred that a particular thing happened.	That person is abhorred that that thing didn't happen.	0.31690148	0.52932525
absolve	first	past	NP V to VP[+eventive]	I didn't absolve to do a particular thing.	I absolved not to do that thing.	0.3805582	0.5084155
absolve	third	past	NP V to VP[+eventive]	A particular person didn't absolve to do a particular thing.	That person absolved not to do that thing.	0.41799825	0.4971031
accept	first	past	NP V that S	I didn't accept that a particular thing happened.	I accepted that that thing didn't happen.	0.47435012	0.72965485
accept	first	past	NP V to VP[-eventive]	I didn't accept to have a particular thing.	I accepted not to have that thing.	0.5272555	0.542788
accept	first	past	NP be V to VP[+eventive]	I wasn't accepted to do a particular thing.	I was accepted not to do that thing.	0.40752703	0.61406195
accept	first	present	NP V that S	I don't accept that a particular thing happened.	I accept that that thing didn't happen.	0.46891877	0.7288884
accept	first	present	NP V to VP[-eventive]	I don't accept to have a particular thing.	I accept not to have that thing.	0.47203434	0.6737318
accept	first	present	NP be V to VP[-eventive]	I'm not accepted to have a particular thing.	I'm accepted not to have that thing.	0.43925273	0.52871776
accept	third	past	NP V that S	A particular person didn't accept that a particular thing happened.	That person accepted that that thing didn't happen.	0.4891037	0.58787245
accept	third	past	NP V to VP[-eventive]	A particular person didn't accept to have a particular thing.	That person accepted not to have that thing.	0.47574857	0.5268016
accept	third	past	NP be V to VP[+eventive]	A particular person wasn't accepted to do a particular thing.	That person was accepted not to do that thing.	0.46325496	0.6165627
accept	third	present	NP V that S	A particular person doesn't accept that a particular thing happened.	That person accepts that that thing didn't happen.	0.38693598	0.62505454
accept	third	present	NP V to VP[-eventive]	A particular person doesn't accept to have a particular thing.	That person accepts not to have that thing.	0.56821907	0.49977705
accept	third	present	NP be V to VP[-eventive]	A particular person isn't accepted to have a particular thing.	That person is accepted not to have that thing.	0.39072767	0.544743
acclaim	first	past	NP V to VP[+eventive]	I didn't acclaim to do a particular thing.	I acclaimed not to do that thing.	0.40840924	0.5187808
acclaim	first	past	NP be V to VP[-eventive]	I wasn't acclaimed to have a particular thing.	I was acclaimed not to have that thing.	0.2302917	0.3857931
acclaim	first	present	NP V that S	I don't acclaim that a particular thing happened.	I acclaim that that thing didn't happen.	0.41372928	0.5250815
acclaim	third	past	NP V to VP[+eventive]	A particular person didn't acclaim to do a particular thing.	That person acclaimed not to do that thing.	0.42782885	0.43359795
acclaim	third	past	NP be V to VP[-eventive]	A particular person wasn't acclaimed to have a particular thing.	That person was acclaimed not to have that thing.	0.3786101	0.42437008
